lat,long,subbasin
45.712,-84.5549,0a
45.7117,-84.5678,0a
45.7207,-84.5682,0a
45.7204,-84.5812,0a
45.7201,-84.5941,0a
45.7291,-84.5945,0a
45.7288,-84.6075,0a
45.7284,-84.6204,0a
45.7375,-84.6209,0a
45.7371,-84.6338,0a
45.7368,-84.6467,0a
45.7458,-84.6472,0a
45.7455,-84.6601,0a
45.7545,-84.6606,0a
45.7542,-84.6735,0a
45.7539,-84.6864,0a
45.7629,-84.6869,0a
45.7626,-84.6998,0a
45.7535,-84.6994,0a
45.7532,-84.7123,0a
45.7622,-84.7128,0a
45.7712,-84.7132,0a
45.7803,-84.7137,0a
45.7893,-84.7142,0a
45.7983,-84.7146,0a
45.7986,-84.7017,0a
45.8076,-84.7022,0a
45.8167,-84.7027,0a
45.8257,-84.7031,0a
45.8347,-84.7036,0a
45.835,-84.6906,0a
45.8354,-84.6777,0a
45.8444,-84.6782,0a
45.844,-84.6911,0a
45.8531,-84.6916,0a
45.8527,-84.7045,0a
45.8617,-84.705,0a
45.8708,-84.7055,0a
45.8798,-84.706,0a
45.8888,-84.7064,0a
45.8978,-84.7069,0a
45.9068,-84.7074,0a
45.9072,-84.6944,0a
45.9162,-84.6949,0a
45.9252,-84.6954,0a
45.9249,-84.7083,0a
45.9245,-84.7213,0a
45.9335,-84.7218,0a
45.9339,-84.7088,0a
45.9429,-84.7093,0a
45.9519,-84.7098,0a
45.9609,-84.7102,0a
45.9613,-84.6973,0a
45.9616,-84.6843,0a
45.9619,-84.6713,0a
45.9709,-84.6718,0a
45.9799,-84.6722,0a
45.9796,-84.6852,0a
45.9886,-84.6857,0a
45.989,-84.6727,0a
45.998,-84.6732,0a
45.9983,-84.6602,0a
46.0073,-84.6607,0a
46.007,-84.6736,0a
46.016,-84.6741,0a
46.0157,-84.6871,0a
46.0247,-84.6876,0a
46.025,-84.6746,0a
46.0254,-84.6616,0a
46.0344,-84.6621,0a
46.0434,-84.6625,0a
46.0437,-84.6495,0a
46.044,-84.6365,0a
46.0444,-84.6235,0a
46.0353,-84.6231,0a
46.0357,-84.6101,0a
46.036,-84.5971,0a
46.027,-84.5966,0a
46.0273,-84.5836,0a
46.0183,-84.5832,0a
46.0186,-84.5702,0a
46.0276,-84.5706,0a
46.0279,-84.5576,0a
46.0282,-84.5446,0a
46.0192,-84.5442,0a
46.0195,-84.5312,0a
46.0105,-84.5307,0a
46.0108,-84.5178,0a
46.0018,-84.5173,0a
45.9928,-84.5169,0a
45.9838,-84.5164,0a
45.9747,-84.516,0a
45.9657,-84.5155,0a
45.966,-84.5026,0a
45.9663,-84.4896,0a
45.9754,-84.49,0a
45.9844,-84.4904,0a
45.9847,-84.4775,0a
45.985,-84.4645,0a
45.976,-84.464,0a
45.9669,-84.4636,0a
45.9672,-84.4506,0a
45.9763,-84.4511,0a
45.9853,-84.4515,0a
45.9943,-84.4519,0a
45.9946,-84.4389,0a
46.0036,-84.4394,0a
46.0039,-84.4264,0a
45.9949,-84.4259,0a
